Group	Mean	Count
CG_CDS_Focal	0.701003046166565	87
CG_CDS_Undiverged	0.900133188968394	87
CG_Intergenic_Focal	1.10359339144898	344
CG_Intergenic_Undiverged	0.792997597852782	344
CG_Intron_Focal	0.760162952187864	453
CG_Intron_Undiverged	0.752198287907329	453
CG_Promoter_Focal	0.405273178525241	1298
CG_Promoter_Undiverged	0.490833765777341	1298
HZ_CDS_Focal	0.931520699188195	131
HZ_CDS_Undiverged	0.836243712999406	131
HZ_Intergenic_Focal	1.11324521845734	559
HZ_Intergenic_Undiverged	0.763197227076127	559
HZ_Intron_Focal	0.734131233783331	751
HZ_Intron_Undiverged	0.729783111826206	751
HZ_Promoter_Focal	0.514485208711607	1214
HZ_Promoter_Undiverged	0.590804528321952	1214
WGBS_CDS_Focal	0.964325559820046	963
WGBS_CDS_Undiverged	0.871036036668792	963
WGBS_Intergenic_Focal	0.965094102067071	2619
WGBS_Intergenic_Undiverged	0.953252410161472	2619
WGBS_Intron_Focal	0.921289764506013	3625
WGBS_Intron_Undiverged	0.88377319357221	3625
WGBS_Promoter_Focal	0.456420737038484	1185
WGBS_Promoter_Undiverged	0.53353271118942	1185
CG_CDS_Focal	0.731939713815124	87
CG_CDS_Undiverged	0.934255892676205	87
CG_Intergenic_Focal	1.17905837634412	344
CG_Intergenic_Undiverged	0.958772713103005	344
CG_Intron_Focal	0.701618777162363	453
CG_Intron_Undiverged	0.859148031323941	453
CG_Promoter_Focal	0.423136011748676	1298
CG_Promoter_Undiverged	0.48923215761636	1298
HZ_CDS_Focal	0.850903622837514	131
HZ_CDS_Undiverged	0.819607287912807	131
HZ_Intergenic_Focal	0.965440578008273	559
HZ_Intergenic_Undiverged	0.795944125462685	559
HZ_Intron_Focal	0.771198314319966	751
HZ_Intron_Undiverged	0.756274602165305	751
HZ_Promoter_Focal	0.511382165047404	1214
HZ_Promoter_Undiverged	0.590123141507974	1214
WGBS_CDS_Focal	0.92801826921413	963
WGBS_CDS_Undiverged	0.87534018040815	963
WGBS_Intergenic_Focal	0.968892410997698	2619
WGBS_Intergenic_Undiverged	0.9583620036123	2619
WGBS_Intron_Focal	0.926985132400372	3625
WGBS_Intron_Undiverged	0.892614294058767	3625
WGBS_Promoter_Focal	0.460186684426489	1185
WGBS_Promoter_Undiverged	0.560631465676431	1185
CG_CDS_Focal	0.771926691945061	87
CG_CDS_Undiverged	0.946894813101181	87
CG_Intergenic_Focal	1.01694618386903	344
CG_Intergenic_Undiverged	0.831140249917048	344
CG_Intron_Focal	0.706078063835421	453
CG_Intron_Undiverged	0.813496740364082	453
CG_Promoter_Focal	0.393699162403585	1298
CG_Promoter_Undiverged	0.522592767318253	1298
HZ_CDS_Focal	0.915816398591498	131
HZ_CDS_Undiverged	0.741052928743266	131
HZ_Intergenic_Focal	0.97410525989862	559
HZ_Intergenic_Undiverged	0.761907092783111	559
HZ_Intron_Focal	0.756972407883328	751
HZ_Intron_Undiverged	0.730027183943176	751
HZ_Promoter_Focal	0.508888957693542	1214
HZ_Promoter_Undiverged	0.583522534269984	1214
WGBS_CDS_Focal	0.960706077853461	963
WGBS_CDS_Undiverged	0.824219828408446	963
WGBS_Intergenic_Focal	1.0143695069036	2619
WGBS_Intergenic_Undiverged	0.912373223250921	2619
WGBS_Intron_Focal	0.965115619027626	3625
WGBS_Intron_Undiverged	0.914360464372569	3625
WGBS_Promoter_Focal	0.446032622320993	1185
WGBS_Promoter_Undiverged	0.567292640678599	1185
CG_CDS_Focal	0.823983050709934	87
CG_CDS_Undiverged	1.06534317417808	87
CG_Intergenic_Focal	1.05470216202328	344
